date_observed,search_term,store,product_title,product_url,package_size_text,package_size,package_unit,displayed_price,unit_price_text,listed_unit_price,listed_unit,is_variable_weight,sale_status,sale_price,regular_price,multi_buy_quantity,multi_buy_unit_price,single_item_price,category,product_family,comparison_group,product_form,attributes,standardized_unit,price_per_standard_unit,data_quality_warning,normalization_error,displayed_price_text,regular_price_text,regular_price_unit
2026-09-20,cheese,Metro Canada,Marble Cheddar Cheese,https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/packaged-cheese/cheese-blocks/marble-cheddar-cheese/p/068200885117,400 g,400.0,g,7.99,$2.00 /100 g,2.0,100g,False,,,,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.9975,,,$7.99 ea.,,
2026-09-20,cheese,Metro Canada,Old Cheddar Cheese,https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/packaged-cheese/cheese-blocks/old-cheddar-cheese/p/059749969468,400 g,400.0,g,4.99,$1.25 /100 g,1.25,100g,False,sale,4.99,5.99,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.2475,,,$4.99 ea.,Regular price $5.99 ea.,
2026-09-20,cheese,Metro Canada,Mozzarella Cheese,https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/packaged-cheese/cheese-blocks/mozzarella-cheese/p/068200885179,400 g,400.0,g,7.99,$2.00 /100 g,2.0,100g,False,,,,,,,dairy,cheese,mozzarella_cheese,unspecified,,100g,1.9975,,,$7.99 ea.,,
2026-09-20,cheese,Metro Canada,Pizza Mozzarella Cheese,https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/packaged-cheese/cheese-blocks/pizza-mozzarella-cheese/p/059749969444,400 g,400.0,g,4.99,$1.25 /100 g,1.25,100g,False,sale,4.99,5.99,,,,dairy,cheese,mozzarella_cheese,unspecified,,100g,1.2475,,,$4.99 ea.,Regular price $5.99 ea.,
2026-09-20,cheese,Metro Canada,Old Orange Cheddar Cheese,https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/packaged-cheese/cheese-blocks/old-orange-cheddar-cheese/p/068200885513,400 g,400.0,g,7.99,$2.00 /100 g,2.0,100g,False,,,,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.9975,,,$7.99 ea.,,
2026-09-20,cheese,Metro Canada,Shredded Double Cheddar Cheese Blend,https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/packaged-cheese/shredded-cheese/shredded-double-cheddar-cheese-blend/p/059749949378,320 g,320.0,g,4.99,$1.56 /100 g,1.56,100g,False,sale,4.99,5.99,,,,dairy,cheese,cheddar_cheese,shredded,,100g,1.559375,,,$4.99 ea.,Regular price $5.99 ea.,
2026-09-20,cheese,Metro Canada,Medium Cheddar Cheese,https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/packaged-cheese/cheese-blocks/medium-cheddar-cheese/p/068200885476,400 g,400.0,g,7.99,$2.00 /100 g,2.0,100g,False,,,,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.9975,,,$7.99 ea.,,
2026-09-20,cheese,Metro Canada,Extra Old White Cheddar Cheese,https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/packaged-cheese/cheese-blocks/extra-old-white-cheddar-cheese/p/059749942645,400 g,400.0,g,4.99,$1.25 /100 g,1.25,100g,False,sale,4.99,5.99,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.2475,,,$4.99 ea.,Regular price $5.99 ea.,
2026-09-20,cheese,Metro Canada,Extra Old White Cheddar Cheese,https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/packaged-cheese/cheese-blocks/extra-old-white-cheddar-cheese/p/068200885230,400 g,400.0,g,7.99,$2.00 /100 g,2.0,100g,False,,,,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.9975,,,$7.99 ea.,,
2026-09-20,cheese,Metro Canada,"Shredded Three Cheese Blend, Tex Mex",https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/packaged-cheese/shredded-cheese/shredded-three-cheese-blend/p/059749949330,320 g,320.0,g,4.99,$1.56 /100 g,1.56,100g,False,sale,4.99,5.99,,,,dairy,cheese,cheese_unspecified_type,shredded,,100g,1.559375,,,$4.99 ea.,Regular price $5.99 ea.,
2026-09-20,cheese,Metro Canada,Mild Marble Cheddar Cheese Slices,https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/packaged-cheese/sliced-cheese/mild-marble-cheddar-cheese-slices/p/059749951227,230 g,230.0,g,4.99,$2.17 /100 g,2.17,100g,False,,,,,,,dairy,cheese,cheddar_cheese,sliced,,100g,2.1695652173913045,,,$4.99 ea.,,
